waypoint1	waypoint2	distance_m	duration_s
Rocky Mountain, Colorado	Capitol Reef, Utah	731206	26726
Capitol Reef, Utah	Saguaro, Arizona	962686	34965
Sequoia, California	Capitol Reef, Utah	1134562	39933
Shenandoah, Virginia	Capitol Reef, Utah	3268905	107969
Theodore Roosevelt, North Dakota	Capitol Reef, Utah	1588039	53980
Voyageurs, Minnesota	Capitol Reef, Utah	2422015	84657
Capitol Reef, Utah	White Sands, New Mexico	1117731	39882
Wind Cave, South Dakota	Capitol Reef, Utah	1228954	41566
Yellowstone, Wyoming	Capitol Reef, Utah	863047	28894
Yosemite, California	Capitol Reef, Utah	973393	35461
Zion, Utah	Capitol Reef, Utah	280179	11138
Congaree, South Carolina	Carlsbad Caverns, New Mexico	2393537	79366
Crater Lake, Oregon	Carlsbad Caverns, New Mexico	2560269	90675
Cuyahoga Valley, Ohio	Carlsbad Caverns, New Mexico	2552993	85355
Death Valley, California	Carlsbad Caverns, New Mexico	1600152	54233
Everglades, Florida	Carlsbad Caverns, New Mexico	2908736	96542
Great Sand Dunes, Colorado	Carlsbad Caverns, New Mexico	746294	27208
Great Smoky Mountains, North Carolina	Carlsbad Caverns, New Mexico	2197815	74231
Gateway Arch, Missouri	Carlsbad Caverns, New Mexico	1679537	56183
Glacier, Montana	Carlsbad Caverns, New Mexico	2407047	78972
Grand Canyon, Arizona	Carlsbad Caverns, New Mexico	1140181	38496
Great Basin, Nevada	Carlsbad Caverns, New Mexico	2036983	71067
Carlsbad Caverns, New Mexico	Guadalupe Mountains, Texas	57584	2106
Hot Springs, Arkansas	Carlsbad Caverns, New Mexico	1227209	41856
Indiana Dunes, Indiana	Carlsbad Caverns, New Mexico	2197470	73135
Joshua Tree, California	Carlsbad Caverns, New Mexico	1388558	46124
Kings Canyon, California	Carlsbad Caverns, New Mexico	1905295	64967
Carlsbad Caverns, New Mexico	Lassen Volcanic, California	2349832	79990
Mammoth Cave, Kentucky	Carlsbad Caverns, New Mexico	1981575	65843
Mesa Verde, Colorado	Carlsbad Caverns, New Mexico	873605	31067
Mount Rainier, Washington	Carlsbad Caverns, New Mexico	2791097	99182
Carlsbad Caverns, New Mexico	North Cascades, Washington	2864503	101266
Petrified Forest, Arizona	Carlsbad Caverns, New Mexico	837309	28151
Pinnacles, California	Carlsbad Caverns, New Mexico	1948767	66199
Redwood, California	Carlsbad Caverns, New Mexico	2098747	70107
Rocky Mountain, Colorado	Carlsbad Caverns, New Mexico	1076159	37032
Carlsbad Caverns, New Mexico	Saguaro, Arizona	725328	24281
Sequoia, California	Carlsbad Caverns, New Mexico	1844341	62534
Shenandoah, Virginia	Carlsbad Caverns, New Mexico	2717149	90559
Theodore Roosevelt, North Dakota	Carlsbad Caverns, New Mexico	1928714	64950
Voyageurs, Minnesota	Carlsbad Caverns, New Mexico	2583923	85384
Carlsbad Caverns, New Mexico	White Sands, New Mexico	326831	11697
Wind Cave, South Dakota	Carlsbad Caverns, New Mexico	1519120	50718
Yellowstone, Wyoming	Carlsbad Caverns, New Mexico	1844397	61914
Yosemite, California	Carlsbad Caverns, New Mexico	1954583	66338
Zion, Utah	Carlsbad Caverns, New Mexico	1279527	44649
Congaree, South Carolina	Crater Lake, Oregon	4490981	150371
Congaree, South Carolina	Cuyahoga Valley, Ohio	952670	33495
Congaree, South Carolina	Death Valley, California	3735783	123575
Congaree, South Carolina	Everglades, Florida	1041777	34935
Congaree, South Carolina	Great Sand Dunes, Colorado	2669696	89491
Congaree, South Carolina	Great Smoky Mountains, North Carolina	398882	16162
Congaree, South Carolina	Gateway Arch, Missouri	1234480	42071
Congaree, South Carolina	Glacier, Montana	3738359	124738
Congaree, South Carolina	Grand Canyon, Arizona	3275812	107833
Congaree, South Carolina	Great Basin, Nevada	3955962	131102
Congaree, South Carolina	Guadalupe Mountains, Texas	2451494	81418
Congaree, South Carolina	Hot Springs, Arkansas	1301523	43742
Congaree, South Carolina	Indiana Dunes, Indiana	1289475	44167
Congaree, South Carolina	Joshua Tree, California	3704494	121972
Congaree, South Carolina	Kings Canyon, California	4118832	136919
Congaree, South Carolina	Lassen Volcanic, California	4421276	146196
Congaree, South Carolina	Mammoth Cave, Kentucky	767906	28737
Congaree, South Carolina	Mesa Verde, Colorado	3009236	100409
Congaree, South Carolina	Mount Rainier, Washington	4642925	156908
Congaree, South Carolina	North Cascades, Washington	4520321	151955
Congaree, South Carolina	Petrified Forest, Arizona	2972940	97493
Congaree, South Carolina	Pinnacles, California	4181262	139395
Congaree, South Carolina	Redwood, California	4331242	143303
Congaree, South Carolina	Rocky Mountain, Colorado	2698689	89572
Congaree, South Carolina	Saguaro, Arizona	3145721	102474
Congaree, South Carolina	Sequoia, California	4059853	134775
Congaree, South Carolina	Shenandoah, Virginia	667072	23472
Congaree, South Carolina	Theodore Roosevelt, North Dakota	2881553	95626
Congaree, South Carolina	Voyageurs, Minnesota	2311131	78958
Congaree, South Carolina	White Sands, New Mexico	2645611	89670
Congaree, South Carolina	Wind Cave, South Dakota	2719579	93256
Congaree, South Carolina	Yellowstone, Wyoming	3291463	112373
Congaree, South Carolina	Yosemite, California	4092705	135760
Congaree, South Carolina	Zion, Utah	3415158	113995
Cuyahoga Valley, Ohio	Crater Lake, Oregon	3918131	129871
Crater Lake, Oregon	Death Valley, California	1080908	40799
Crater Lake, Oregon	Everglades, Florida	5238503	172788
Great Sand Dunes, Colorado	Crater Lake, Oregon	1981679	71331
Great Smoky Mountains, North Carolina	Crater Lake, Oregon	4110835	137731
Crater Lake, Oregon	Gateway Arch, Missouri	3257317	108423
Crater Lake, Oregon	Glacier, Montana	1327582	48904
Crater Lake, Oregon	Grand Canyon, Arizona	1666641	60073
Crater Lake, Oregon	Great Basin, Nevada	600321	23742
Crater Lake, Oregon	Guadalupe Mountains, Texas	2565485	89354
Hot Springs, Arkansas	Crater Lake, Oregon	3456932	117291
Crater Lake, Oregon	Indiana Dunes, Indiana	3431934	113454
Crater Lake, Oregon	Joshua Tree, California	1379563	49711
Kings Canyon, California	Crater Lake, Oregon	948483	35322
Crater Lake, Oregon	Lassen Volcanic, California	374340	15346
Crater Lake, Oregon	Mammoth Cave, Kentucky	3719127	124988
Crater Lake, Oregon	Mesa Verde, Colorado	1695920	60366
Mount Rainier, Washington	Crater Lake, Oregon	641884	25101
Crater Lake, Oregon	North Cascades, Washington	842282	31453
Crater Lake, Oregon	Petrified Forest, Arizona	1805967	63801
Pinnacles, California	Crater Lake, Oregon	845337	31197
Redwood, California	Crater Lake, Oregon	719061	26596
Crater Lake, Oregon	Rocky Mountain, Colorado	1931791	66921
Crater Lake, Oregon	Saguaro, Arizona	1868955	66546
Crater Lake, Oregon	Sequoia, California	986821	36333
